x,y,value,x.num,y.num,x.story,y.story,x.max,y.max,x.num.prop,y.num.prop,max.sim,num.prop.diff,num.prop.diff.abs,translation_steps,rscore.pred.diff,rscore.pred.diff.abs,rscore.avg.cos,rscore.avg.cos.med
eng1.118,eng1.118,1,118,118,eng1,eng1,158,158,0.7468354430379747,0.7468354430379747,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.119,eng1.119,1.0000002,119,119,eng1,eng1,158,158,0.7531645569620253,0.7531645569620253,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.120,eng1.120,0.9999998,120,120,eng1,eng1,158,158,0.759493670886076,0.759493670886076,0.9999998,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.121,eng1.121,1,121,121,eng1,eng1,158,158,0.7658227848101266,0.7658227848101266,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.122,eng1.122,1.0000002,122,122,eng1,eng1,158,158,0.7721518987341772,0.7721518987341772,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.123,eng1.123,1,123,123,eng1,eng1,158,158,0.7784810126582279,0.7784810126582279,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.124,eng1.124,0.9999999,124,124,eng1,eng1,158,158,0.7848101265822784,0.7848101265822784,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.125,eng1.125,1,125,125,eng1,eng1,158,158,0.7911392405063291,0.7911392405063291,1,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.126,eng1.126,0.9999999,126,126,eng1,eng1,158,158,0.7974683544303798,0.7974683544303798,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.127,eng1.127,1.0000001,127,127,eng1,eng1,158,158,0.8037974683544303,0.8037974683544303,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.128,eng1.128,0.9999999,128,128,eng1,eng1,158,158,0.810126582278481,0.810126582278481,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.129,eng1.129,0.99999976,129,129,eng1,eng1,158,158,0.8164556962025317,0.8164556962025317,0.99999976,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.130,eng1.130,0.9999999,130,130,eng1,eng1,158,158,0.8227848101265823,0.8227848101265823,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.131,eng1.131,1.0000002,131,131,eng1,eng1,158,158,0.8291139240506329,0.8291139240506329,1.0000002,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.132,eng1.132,1.0000001,132,132,eng1,eng1,158,158,0.8354430379746836,0.8354430379746836,1.0000001,0,0,0,0,0.007911392405063292,0.999999994875,1
eng1.133,eng1.133,0.9999999,133,133,eng1,eng1,158,158,0.8417721518987342,0.8417721518987342,0.9999999,0,0,0,0,0.007911392405063292,0.999999994875,1
