x.num,y.num,value,x.story,x.chunk,y.story,y.chunk,x.id,y.id,x.num.prop,y.num.prop,max.sim,num.prop.diff,num.prop.diff.abs,translation_steps,chunk_steps,different_chunks,rscore.pred.diff,rscore.pred.diff.abs,rscore.avg.cos,rscore.avg.cos.med
3,23,0.3627987,1,4,1,1,eng1.4,eng1.1,0.07317073170731707,0.5609756097560976,0.3627987,0.48780487804878053,0.48780487804878053,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
4,5,0.32281232,1,4,1,1,eng1.4,eng1.1,0.0975609756097561,0.12195121951219512,0.32281232,0.02439024390243902,0.02439024390243902,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
5,20,0.36152327,1,4,1,1,eng1.4,eng1.1,0.12195121951219512,0.4878048780487805,0.36152327,0.36585365853658536,0.36585365853658536,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
6,16,0.30460596,1,4,1,1,eng1.4,eng1.1,0.14634146341463414,0.3902439024390244,0.30460596,0.24390243902439027,0.24390243902439027,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
7,23,0.21241271,1,4,1,1,eng1.4,eng1.1,0.17073170731707318,0.5609756097560976,0.21241271,0.3902439024390244,0.3902439024390244,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
8,18,0.2891536,1,4,1,1,eng1.4,eng1.1,0.1951219512195122,0.43902439024390244,0.2891536,0.24390243902439024,0.24390243902439024,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
9,25,0.18318103,1,4,1,1,eng1.4,eng1.1,0.21951219512195122,0.6097560975609756,0.18318103,0.3902439024390244,0.3902439024390244,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
10,8,0.1552511,1,4,1,1,eng1.4,eng1.1,0.24390243902439024,0.1951219512195122,0.1552511,-0.04878048780487804,0.04878048780487804,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
11,25,0.2825098,1,4,1,1,eng1.4,eng1.1,0.2682926829268293,0.6097560975609756,0.2825098,0.3414634146341463,0.3414634146341463,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
12,14,0.4344606,1,4,1,1,eng1.4,eng1.1,0.2926829268292683,0.34146341463414637,0.4344606,0.04878048780487809,0.04878048780487809,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
13,11,0.3553921,1,4,1,1,eng1.4,eng1.1,0.3170731707317073,0.2682926829268293,0.3553921,-0.04878048780487804,0.04878048780487804,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
14,12,0.21147183,1,4,1,1,eng1.4,eng1.1,0.34146341463414637,0.2926829268292683,0.21147183,-0.04878048780487809,0.04878048780487809,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
15,12,0.39356327,1,4,1,1,eng1.4,eng1.1,0.36585365853658536,0.2926829268292683,0.39356327,-0.07317073170731708,0.07317073170731708,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
16,13,0.23867905,1,4,1,1,eng1.4,eng1.1,0.3902439024390244,0.3170731707317073,0.23867905,-0.07317073170731708,0.07317073170731708,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
17,12,0.3793361,1,4,1,1,eng1.4,eng1.1,0.4146341463414634,0.2926829268292683,0.3793361,-0.12195121951219512,0.12195121951219512,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
18,11,0.3521521,1,4,1,1,eng1.4,eng1.1,0.43902439024390244,0.2682926829268293,0.3521521,-0.17073170731707316,0.17073170731707316,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
19,14,0.36836553,1,4,1,1,eng1.4,eng1.1,0.4634146341463415,0.34146341463414637,0.36836553,-0.12195121951219512,0.12195121951219512,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
20,18,0.5049835,1,4,1,1,eng1.4,eng1.1,0.4878048780487805,0.43902439024390244,0.5049835,-0.04878048780487804,0.04878048780487804,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
21,7,0.26835763,1,4,1,1,eng1.4,eng1.1,0.5121951219512195,0.17073170731707318,0.26835763,-0.3414634146341463,0.3414634146341463,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
22,13,0.18662924,1,4,1,1,eng1.4,eng1.1,0.5365853658536586,0.3170731707317073,0.18662924,-0.21951219512195125,0.21951219512195125,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
23,1,0.33543152,1,4,1,1,eng1.4,eng1.1,0.5609756097560976,0.024390243902439025,0.33543152,-0.5365853658536586,0.5365853658536586,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
24,16,0.21063495,1,4,1,1,eng1.4,eng1.1,0.5853658536585366,0.3902439024390244,0.21063495,-0.19512195121951215,0.19512195121951215,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
25,2,0.41945648,1,4,1,1,eng1.4,eng1.1,0.6097560975609756,0.04878048780487805,0.41945648,-0.5609756097560975,0.5609756097560975,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
26,18,0.24998733,1,4,1,1,eng1.4,eng1.1,0.6341463414634146,0.43902439024390244,0.24998733,-0.1951219512195122,0.1951219512195122,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
27,18,0.35025287,1,4,1,1,eng1.4,eng1.1,0.6585365853658537,0.43902439024390244,0.35025287,-0.21951219512195125,0.21951219512195125,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
28,5,0.41448712,1,4,1,1,eng1.4,eng1.1,0.6829268292682927,0.12195121951219512,0.41448712,-0.5609756097560976,0.5609756097560976,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
1,38,0.40135178,1,4,1,2,eng1.4,eng1.2,0.024390243902439025,0.926829268292683,0.40135178,0.9024390243902439,0.9024390243902439,0,2,FALSE,0.07926829268292683,0.3249128919860627,0.35976738714285716,0.344746465
2,41,0.30006087,1,4,1,2,eng1.4,eng1.2,0.04878048780487805,1,0.30006087,0.9512195121951219,0.9512195121951219,0,2,FALSE,0.07926829268292683,0.3249128919860627,0.35976738714285716,0.344746465
3,4,0.38843054,1,4,1,2,eng1.4,eng1.2,0.07317073170731707,0.0975609756097561,0.38843054,0.024390243902439032,0.024390243902439032,0,2,FALSE,0.07926829268292683,0.3249128919860627,0.35976738714285716,0.344746465
