umap.x,umap.y,story,grain
15.7391615,5.061087,2,1
16.02225,2.9035363,2,1
15.475877,4.907568,2,1
15.871386,1.6854781,2,1
15.714115,3.3106432,2,1
16.84487,2.736423,2,1
16.674711,6.0764956,2,1
14.807253,4.4167376,2,1
17.425232,6.3894525,2,1
15.305344,3.948756,2,1
15.348486,4.0395775,2,1
16.147863,4.4344954,2,1
16.77912,1.9375604,2,1
16.109625,2.4672196,2,1
17.049261,4.9346385,2,1
17.014664,4.889674,2,1
18.175089,4.6917486,2,1
18.441818,2.2040782,2,1
18.09615,3.8815715,2,1
17.657234,4.478844,2,1
17.829227,5.9169145,2,1
14.481513,2.0487554,2,1
14.650855,2.0487533,2,1
14.109838,2.1873078,2,1
18.03174,3.214948,2,1
13.050238,3.5783005,2,1
12.613189,2.8684127,2,1
12.515049,3.1668122,2,1
13.597118,1.5667884,2,1
15.365854,3.846118,2,1
14.845796,3.141191,2,1
17.828913,5.120387,2,1
15.118343,3.688913,2,1
16.493395,2.5425205,2,1
13.569273,3.8175125,2,1
12.996525,3.7281601,2,1
14.0341,2.1717103,2,1
17.921658,4.32023,2,1
17.94993,2.4850724,2,1
16.216002,0.80297816,2,1
15.792815,1.1375926,2,1
13.593252,2.2300756,2,1
18.780384,3.85707,2,1
16.6627,1.8749087,2,1
17.093721,1.2841145,2,1
18.197058,3.7659855,2,1
13.4604645,3.758043,2,1
14.179561,3.7485168,2,1
14.227352,3.29203,2,1
18.448744,4.7976093,2,1
17.76488,2.8159792,2,1
17.738207,2.7997625,2,1
19.05604,4.664385,2,1
18.023909,6.196824,2,1
18.47603,2.210946,2,1
18.93707,4.5377774,2,1
16.407291,2.8052614,2,1
17.699644,6.0054793,2,1
19.175642,4.266031,2,1
19.30674,4.677832,2,1
17.9409,5.5163193,2,1
17.411873,4.956217,2,1
19.216564,4.923089,2,1
13.277779,2.5356514,2,1
19.332159,4.8264623,2,1
18.636456,4.789126,2,1
19.22355,4.862509,2,1
13.553718,2.2615392,2,1
14.566401,1.4378914,2,1
16.294369,1.9611787,2,1
14.332707,3.2921534,2,1
16.37001,5.6712766,2,1
13.530552,2.4297667,2,1
19.25721,4.9191437,2,1
14.546297,4.694909,2,1
15.242908,2.2987332,2,1
16.729927,2.0315707,2,1
14.800131,4.0894995,2,1
16.466776,1.7202047,2,1
19.34682,4.533199,2,1
18.148125,2.610335,2,1
17.22012,3.51939,2,1
17.197699,2.5497625,2,1
18.07999,5.167635,2,1
16.675156,3.4073532,2,1
12.778341,3.7818258,2,1
17.63508,2.5123646,2,1
15.809091,3.161216,2,1
13.344646,3.4279733,2,1
15.972399,3.4450312,2,1
16.501326,2.5647354,2,1
17.448355,4.6510234,2,1
18.007584,5.573457,2,1
15.687481,4.016378,2,1
16.347998,3.3138175,2,1
16.782415,3.3156543,2,1
13.094608,3.820204,2,1
17.089476,4.199164,2,1
15.278926,2.9001653,2,1
16.899227,1.3018006,2,1
15.134966,3.7098222,2,1
18.3046,2.9348876,2,1
13.532482,2.2891865,2,1
14.5682,1.3869265,2,1
16.059036,1.9343616,2,1
14.9704685,2.9462998,2,1
13.875267,2.5311973,2,1
16.140884,2.4255788,2,1
15.464692,4.1370115,2,1
15.404903,3.6082492,2,1
14.092248,2.837696,2,1
15.998715,2.1567044,2,1
13.590218,2.5834856,2,1
14.024575,3.1932275,2,1
13.776935,2.4833784,2,1
12.815343,3.6446881,2,1
17.433743,3.7073815,2,1
13.56098,2.4847825,2,1
16.616234,1.5515844,2,1
14.890525,3.7314842,2,1
15.973295,4.2659183,2,1
15.373883,4.8582826,2,1
13.888761,1.90509,2,1
14.31577,3.381109,2,1
16.435007,3.9517794,2,1
16.979055,4.1938224,2,1
18.947577,3.7695177,2,1
17.012941,1.4777104,2,1
17.645302,2.6123528,2,1
18.275518,3.4817774,2,1
18.136162,2.4911249,2,1
14.6331415,2.0183823,2,1
17.30067,2.2545674,2,1
18.411135,2.3978179,2,1
14.639909,1.9880333,2,1
18.417398,2.5338075,2,1
14.684661,2.0194192,2,1
18.069109,4.295592,2,1
15.617958,3.7016516,2,1
14.149119,3.2727427,2,1
17.984352,4.374089,2,1
15.706083,2.1385088,2,1
14.378955,1.8138423,2,1
15.682332,2.2072456,2,1
17.38695,3.0496383,2,1
16.035326,3.289155,2,1
13.592246,2.3432925,2,1
16.919058,3.1369672,2,1
16.48553,4.2692623,2,1
14.259749,4.7476983,2,1
14.375171,1.1108626,2,1
16.139921,1.4619898,3,1
17.944822,3.192721,3,1
18.838747,2.8056207,3,1
18.724098,2.9242513,3,1
16.056036,1.650877,3,1
15.197044,2.809285,3,1
