umap.x,umap.y,story,grain
2.6108303,5.2682953,2,1
2.8627017,5.9554195,2,1
2.7548463,5.8133025,2,1
3.8201635,9.933455,2,1
4.6337004,9.496272,2,1
3.5699017,8.970307,2,1
4.468557,4.837876,2,1
4.638752,4.167246,2,1
2.2948654,7.0614786,2,1
3.1347916,9.197942,2,1
3.015097,9.589752,2,1
3.2647762,5.036191,2,1
4.044283,8.070458,2,1
5.1555486,8.788431,2,1
2.0731006,4.5701947,2,1
1.7179765,4.2222986,2,1
2.2419727,4.242213,2,1
3.2568839,5.5679975,2,1
2.8992383,3.907805,2,1
4.511521,8.791557,2,1
6.1420445,8.513069,2,1
3.2427344,9.478406,2,1
2.0021787,6.809791,2,1
2.753646,6.25702,2,1
2.9606094,3.0617025,2,1
1.965331,6.7805834,2,1
1.8042744,6.777291,2,1
5.939244,3.7192943,2,1
6.3351254,3.6146038,2,1
5.641729,4.685506,2,1
4.1845336,2.0020466,2,1
4.5194883,2.286993,2,1
5.615517,3.413122,2,1
6.511562,3.6189659,2,1
2.1015468,6.4269967,2,1
3.3446636,6.770866,2,1
3.3004303,7.0619326,2,1
2.7585497,8.972607,2,1
5.503551,4.7261057,2,1
2.7262123,7.695881,2,1
2.7486565,7.932775,2,1
3.4503353,8.670137,2,1
3.821652,8.576146,2,1
5.3775396,8.515248,2,1
6.087748,6.6536627,2,1
4.057701,7.677205,2,1
2.7202141,4.7526655,2,1
2.2734337,4.431451,2,1
5.170579,5.542805,2,1
5.790391,8.995332,2,1
6.2687387,8.310589,2,1
5.7070336,8.740061,2,1
5.822197,8.109577,2,1
5.9260435,7.920144,2,1
5.594507,9.596355,2,1
5.7737975,7.627109,2,1
5.456348,9.611881,2,1
4.503914,7.1158657,2,1
4.6043873,5.905755,2,1
3.7864254,4.3481493,2,1
4.4040117,6.3516283,2,1
0.2981242,3.83654,2,1
2.496009,3.3446076,2,1
2.590806,3.5916047,2,1
3.5714405,5.088603,2,1
4.7104897,5.417659,2,1
